system:index,ADM0_CODE,ADM0_NAME,ADM1_CODE,ADM1_NAME,ADM2_CODE,ADM2_NAME,DISP_AREA,EXP2_YEAR,STATUS,STR2_YEAR,Shape_Area,Shape_Leng,dataset,mean,precipitation,week_start,.geo
1_1_0_00010000000000000596,115,India,1494,Karnataka,17680,Bellary,NO,3000,Member State,1997,0.708337262756,6.83886584297,precipitation,0.0,0.0,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_000100000000000005a8,115,India,1494,Karnataka,70159,Bangalore Urban,NO,3000,Member State,1000,0.181516804258,2.77293836191,precipitation,0.1881462600023831,0.1881462600023831,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_000100000000000005a7,115,India,1494,Karnataka,70158,Bangalore Rural,NO,3000,Member State,1000,0.483936585346,7.17711543612,precipitation,0.4084556468027123,0.4084556468027123,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_000100000000000005a5,115,India,1494,Karnataka,17696,Uttar Kannand,NO,3000,Member State,1000,0.863034480134,8.61203816888,precipitation,0.0620526565636974,0.0620526565636974,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_000100000000000005a4,115,India,1494,Karnataka,17695,Tumkur,NO,3000,Member State,1000,0.884369413307,9.15524907447,precipitation,0.1439608325885729,0.1439608325885729,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_000100000000000005a0,115,India,1494,Karnataka,17691,Mandya,NO,3000,Member State,1000,0.40978382627,4.42402086847,precipitation,0.8312221284659463,0.8312221284659463,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_0001000000000000059f,115,India,1494,Karnataka,17690,Kolar,NO,3000,Member State,1000,0.684285324507,6.82655062926,precipitation,0.3208153293037781,0.3208153293037781,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_0001000000000000059e,115,India,1494,Karnataka,17689,Kodagu,NO,3000,Member State,1000,0.340390758262,3.89778200859,precipitation,2.188899343495591,2.188899343495591,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_0001000000000000059c,115,India,1494,Karnataka,17687,Gulbarga,NO,3000,Member State,1000,1.37726305161,8.97881750526,precipitation,0.0,0.0,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_00010000000000000599,115,India,1494,Karnataka,17683,Chikmagalur,NO,3000,Member State,1000,0.600026862763,4.97883865607,precipitation,0.240271600974066,0.240271600974066,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_00010000000000000597,115,India,1494,Karnataka,17681,Bidar,NO,3000,Member State,1000,0.463418234971,4.6682529696,precipitation,0.003680393282902,0.003680393282902,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_00010000000000000595,115,India,1494,Karnataka,17679,Belgaum,NO,3000,Member State,1000,1.12651719012,9.3917775844,precipitation,0.0040667107497751,0.0040667107497751,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_000100000000000005af,115,India,1494,Karnataka,70166,Udupi,NO,3000,Member State,1997,0.324776435144,4.47398736543,precipitation,0.004046983454941,0.004046983454941,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_0001000000000000059d,115,India,1494,Karnataka,17688,Hassan,NO,3000,Member State,1000,0.565800264772,5.52801567818,precipitation,0.2516460604311502,0.2516460604311502,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_000100000000000005ad,115,India,1494,Karnataka,70164,Haveri,NO,3000,Member State,1997,0.402374204539,4.07415605423,precipitation,0.0,0.0,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_000100000000000005ae,115,India,1494,Karnataka,70165,Koppal,NO,3000,Member State,1997,0.468085913445,4.85223438507,precipitation,0.0,0.0,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_0001000000000000059a,115,India,1494,Karnataka,17685,Dakshin Kannad,NO,3000,Member State,1997,0.379896635794,4.25483671603,precipitation,0.3182060949840463,0.3182060949840463,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_0001000000000000059b,115,India,1494,Karnataka,17686,Dharwad,NO,3000,Member State,1997,0.358696368748,4.03747878022,precipitation,0.0,0.0,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_000100000000000005a1,115,India,1494,Karnataka,17692,Mysore,NO,3000,Member State,1997,0.523124059943,5.51073934174,precipitation,0.4679144095919594,0.4679144095919594,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_000100000000000005a2,115,India,1494,Karnataka,17693,Raichur,NO,3000,Member State,1997,0.712555284955,4.85078126471,precipitation,0.0,0.0,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_000100000000000005a3,115,India,1494,Karnataka,17694,Shimoga,NO,3000,Member State,1997,0.647171433005,5.89260393244,precipitation,0.0,0.0,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_00010000000000000598,115,India,1494,Karnataka,17682,Bijapur,NO,3000,Member State,1997,0.888709983734,6.23599348468,precipitation,0.0,0.0,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_000100000000000005a9,115,India,1494,Karnataka,70160,Chamrajnagar,NO,3000,Member State,1997,0.469209556679,5.05047545129,precipitation,0.3433379453633204,0.3433379453633204,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_000100000000000005aa,115,India,1494,Karnataka,70161,Chitradurga,NO,3000,Member State,1997,0.705669080872,5.78520554575,precipitation,0.0,0.0,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_000100000000000005ab,115,India,1494,Karnataka,70162,Davanagere,NO,3000,Member State,1997,0.553735624588,5.59315442439,precipitation,0.0,0.0,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_000100000000000005ac,115,India,1494,Karnataka,70163,Gadag,NO,3000,Member State,1997,0.389915233002,4.9027012758,precipitation,0.0,0.0,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_000100000000000005a6,115,India,1494,Karnataka,70157,Bagalkot,NO,3000,Member State,1997,0.553821708242,5.77787617692,precipitation,0.0,0.0,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_000100000000000005af,115,India,1494,Karnataka,70166,Udupi,NO,3000,Member State,1997,0.324776435144,4.47398736543,precipitation,1.7599171038065706,1.7599171038065706,2024-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_00010000000000000595,115,India,1494,Karnataka,17679,Belgaum,NO,3000,Member State,1000,1.12651719012,9.3917775844,precipitation,0.0181028592553833,0.0181028592553833,2024-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_00010000000000000597,115,India,1494,Karnataka,17681,Bidar,NO,3000,Member State,1000,0.463418234971,4.6682529696,precipitation,0.0034379142632682,0.0034379142632682,2024-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_00010000000000000599,115,India,1494,Karnataka,17683,Chikmagalur,NO,3000,Member State,1000,0.600026862763,4.97883865607,precipitation,1.83539603920662,1.83539603920662,2024-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_0001000000000000059c,115,India,1494,Karnataka,17687,Gulbarga,NO,3000,Member State,1000,1.37726305161,8.97881750526,precipitation,0.00030255940051195773,0.00030255940051195773,2024-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_0001000000000000059e,115,India,1494,Karnataka,17689,Kodagu,NO,3000,Member State,1000,0.340390758262,3.89778200859,precipitation,2.3434324179635384,2.3434324179635384,2024-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_000100000000000005a4,115,India,1494,Karnataka,17695,Tumkur,NO,3000,Member State,1000,0.884369413307,9.15524907447,precipitation,0.3055062195463461,0.3055062195463461,2024-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
